公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,海淀区,32268-腾讯视频python后台开发（北京）,3-5年,本科,20k-40k,大平台 新业务
北京罗威亚科技有限公司,罗威亚科技,15-50人,天使轮,大兴区,python攻城狮,1-3年,本科,9k-15k,"平台好,技术新,大牛带,团队棒"
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,高级Python工程师,3-5年,本科,25k-50k,"硅谷氛围,高手如云,零食水果,六险一金"
北京数美时代科技有限公司,数美,150-500人,B轮,朝阳区,python研发工程师,1-3年,本科,15k-30k,"飞速发展,发展快,海量数据"
北京罗威亚科技有限公司,罗威亚科技,15-50人,天使轮,大兴区,Python【实习生】,应届毕业生,本科,5k-10k,高挑战，大舞台，大牛带，氛围好
北京智融时代信息技术有限公司,智融集团,150-500人,C轮,海淀区,高级Python开发工程师,3-5年,本科,25k-40k,"优秀团队,工场项目,六险一金,金融科技"
乐飞天下信息技术(北京)有限公司,乐飞天下,150-500人,未融资,朝阳区,Python全栈开发工程师,3-5年,大专,15k-25k,五险一金 带薪假 海外旅游 节假福利
达内时代科技集团有限公司,达内集团,2000人以上,上市公司,海淀区,高级Python开发工程师,3-5年,本科,15k-25k,"五险一金,周末双休,绩效奖金,上市公司"
北京天融信网络安全技术有限公司,天融信,2000人以上,上市公司,海淀区,python研发工程师,5-10年,硕士,15k-25k,"带薪年假,七险一金,定期体检,领导好"
北京轻宿科技发展有限公司,城宿,500-2000人,A轮,朝阳区,python开发工程师,5-10年,不限,25k-35k,五险一金/带薪年假/旅游基金/扁平管理
一点网聚科技有限公司,一点资讯,500-2000人,D轮及以上,朝阳区,Python开发工程师,1-3年,本科,20k-40k,"弹性工作,发展空间大,千万级用户,行业独"
北京思维造物信息科技有限公司,罗辑思维,150-500人,D轮及以上,朝阳区,Python开发工程师,3-5年,本科,25k-50k,"大咖云集,技术氛围好"
北京环讯互动教育科技有限公司,北京飞博教育科技股份有限公司,500-2000人,A轮,朝阳区,高级Python开发工程师,3-5年,大专,20k-25k,提供工作餐 、周六日双休、非996
北京快快网络技术有限公司,真融宝,150-500人,B轮,海淀区,Python研发工程师,3-5年,本科,25k-35k,六险一金，弹性工作，不打卡
永杨安风（北京）科技有限公司,LBE 科技,50-150人,B轮,朝阳区,python研发工程师,3-5年,本科,15k-30k,六险一金+定期体检+绩效奖金+水果零食
北京雷石世纪科技有限公司,北京雷石公司,150-500人,B轮,朝阳区,Python工程师,1-3年,本科,10k-20k,"补充医疗险,弹性工作制"
北京小度互娱科技有限公司,百度视频,150-500人,B轮,海淀区,Python开发工程师,1-3年,本科,15k-25k,"团队优秀,福利优厚"
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,Python开发工程师,1-3年,本科,15k-30k,"六险一金,水果零食多,按摩椅,大牛云集"
北京智蓝云信科技有限公司,智蓝,150-500人,不需要融资,海淀区,python,3-5年,本科,12k-17k,五险一金 大厂
北京融七牛信息技术有限公司,融360,500-2000人,上市公司,海淀区,Python研发工程师,3-5年,本科,20k-35k,"千万级用户,高并发系统,七险一金"
北京搜狐新媒体信息技术有限公司,搜狐集团,2000人以上,上市公司,海淀区,Python开发工程师,3-5年,本科,15k-30k,"工作氛围好,各种团建,弹性工作"
北京水木梧桐创业投资管理有限公司,水木创投,50-150人,不需要融资,东城区,python开发工程师,3-5年,本科,15k-22k,五险一金
上海致趣广告有限公司,致趣广告,50-150人,不需要融资,朝阳区,Python研发工程师,3-5年,本科,8k-10k,七险一金，带薪年假10-15天，年底双薪
网宿科技股份有限公司北京分公司,网宿科技,2000人以上,上市公司,海淀区,Python开发工程师,不限,本科,15k-25k,五险一金 绩效奖金 带薪年假 弹性工作
深圳维戛科技有限公司,维戛科技Contec,15-50人,A轮,朝阳区,python,1-3年,本科,15k-25k,各种福利、发展空间大
北京爱咔咔信息技术有限公司,爱咔咔,15-50人,A轮,海淀区,python开发工程师,3-5年,本科,18k-22k,福利待遇 五险一金技术可以有很大的提升
北京瀚海星云科技有限公司,星云Clustar,15-50人,天使轮,海淀区,python开发工程师,不限,本科,15k-30k,AI领域 前沿技术 专家指导 培训分享
北京爱选信息科技有限公司,爱选科技,少于15人,天使轮,朝阳区,python开发工程师,3-5年,本科,15k-25k,"金融科技类,公司氛围好"
溪流科技（北京）有限公司,溪流科技,15-50人,未融资,海淀区,Python开发工程师,3-5年,本科,12k-24k,"成长空间大,团队文化好六险一金,周末双休"
北京聚微合智信息技术有限公司,聚微,50-150人,不需要融资,海淀区,Python,1-3年,大专,12k-24k,弹性工作制，领导好，有前景，有奖金
北京石云科技有限公司,石云科技,50-150人,不需要融资,海淀区,Python,应届毕业生,本科,10k-20k,"蓝海市场,金融科技,大牛带队,奖金高"
深源恒际科技有限公司,深源恒际,15-50人,未融资,通州区,Python开发工程师,1-3年,本科,15k-30k,"人工智能,技术大牛,前景广阔,扁平管理"
北京搜狐新媒体信息技术有限公司,搜狐集团,2000人以上,上市公司,海淀区,python开发工程师,3-5年,本科,20k-30k,"上市公司,福利氛围轻松优秀"
北京聚微合智信息技术有限公司,聚微,50-150人,不需要融资,海淀区,Python工程师,1-3年,大专,10k-20k,弹性工作制，领导好，有前景，有奖金
北京悦和软件有限公司,悦和,15-50人,未融资,昌平区,python开发工程师,3-5年,本科,10k-20k,周末双休，带薪年假，五险一金，团建活动
贝壳找房（北京）科技有限公司,贝壳,2000人以上,D轮及以上,海淀区,Python开发工程师,5-10年,本科,30k-60k,"15薪,13天年假,免费三餐,逢假必过"
图玛深维医疗科技（北京）有限公司,图玛深维,150-500人,B轮,朝阳区,python工程师,3-5年,本科,15k-25k,超长带薪年假 五险一金 地铁周边
北京中北信科技发展有限公司,中北信科技,50-150人,不需要融资,西城区,python研发,3-5年,不限,10k-15k,五险一金
领途教育咨询（北京）有限公司,领途教育,15-50人,天使轮,海淀区,python开发,1-3年,本科,8k-15k,电脑补助 优秀人才公租房协助申请
北京特拉库塔科技有限公司,大地量子,15-50人,天使轮,朝阳区,初级软件工程师-Python,应届毕业生,本科,10k-20k,大牛团队，前沿项目，开放氛围，扁平结构
北京雷石世纪科技有限公司,北京雷石公司,150-500人,B轮,朝阳区,python,3-5年,本科,15k-30k,五险一金，带薪年假，补充医疗
北京石云科技有限公司,石云科技,50-150人,不需要融资,海淀区,Java/Python（中级）,1-3年,本科,10k-20k,金融科技，牛人带队，领导好，弹性工作
北京顺智信科技有限公司,eBrain,15-50人,A轮,朝阳区,python/java开发工程师,3-5年,大专,15k-25k,广阔职业领域学习成长空间和晋升加薪机会
北京暄和文化发展有限公司,暄和文化,少于15人,未融资,海淀区,高级python/Golang工程师,3-5年,不限,35k-50k,14薪
北京融七牛信息技术有限公司,融360,500-2000人,上市公司,海淀区,高级测试开发工程师(001298)-python,3-5年,本科,15k-30k,"千万级用户,高并发系统,团队大牛多"
三只肥猴（北京）信息技术有限公司,三只肥猴,少于15人,未融资,海淀区,Python工程师,1-3年,本科,7k-10k,"前沿技术,团队融洽,带薪假期,上升空间大"
北京众信易保科技有限公司,豆包网,50-150人,不需要融资,朝阳区,python高级开发工程师,3-5年,本科,15k-25k,八险一金，地铁周边，多种补贴；周末双休
北京搜狐新媒体信息技术有限公司,搜狐集团,2000人以上,上市公司,海淀区,狐友Python开发工程师,1-3年,本科,15k-25k,大平台、团队优秀、发展空间大
北京聚微合智信息技术有限公司,聚微,50-150人,不需要融资,海淀区,Python/ruby 开发工程师,3-5年,本科,15k-22k,弹性工作，领导好，股票期权，有奖金
北京慕华信息科技有限公司,学堂在线,150-500人,B轮,海淀区,高级Python工程师,3-5年,本科,15k-30k,公司稳定 氛围好
北京智蓝云信科技有限公司,智蓝,150-500人,不需要融资,海淀区,python开发,3-5年,本科,15k-25k,五险一金；加班补助；年终奖；班车；
中国移动通信有限公司研究院,移动研究院,500-2000人,不需要融资,西城区,python开发工程师,1-3年,本科,15k-25k,发展机会好，福利待遇完善
深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,朝阳区,python开发,3-5年,大专,10k-20k,"上市公司,福利多多,项目大,五险一金"
福州必全网络科技有限公司,必全网络,15-50人,天使轮,朝阳区,python程序员,1年以下,本科,6k-10k,五险一金；包住宿
北京智水互娱科技有限公司,智水互娱,15-50人,不需要融资,东城区,Python开发工程师,1-3年,大专,20k-40k,"海外,高薪"
北京华影聚合电影科技有限公司,华影聚合,15-50人,不需要融资,海淀区,Python,1-3年,本科,15k-20k,高效团队，电影行业，发展空间大，管三餐
北京云宽志业网络技术有限公司,云宽网络,150-500人,上市公司,海淀区,python中高级研发工程师,5-10年,不限,15k-30k,五险一金 年终奖 加班餐
北京创智优品科技有限公司,Zenjoy,150-500人,不需要融资,东城区,Python后台开发工程师,1-3年,本科,10k-20k,"六险一金,年底双薪,出国旅行,包午晚餐"
北京远大创新科技有限公司?,远大创新,500-2000人,未融资,海淀区,python,不限,大专,12k-17k,五险，双休
上海策炬网络科技有限公司苏州分公司,策炬网络,15-50人,未融资,朝阳区,Python后台工程师,3-5年,本科,25k-50k,最大的综合性数字货币矿池
北京第三石科技发展有限公司,第三石科技,50-150人,B轮,朝阳区,Python开发工程师（校招）,应届毕业生,本科,4k-8k,新锐的全球化移动电商平台
北京智融时代信息技术有限公司,智融集团,150-500人,C轮,海淀区,python研发工程师（抓取平台开发方向）,3-5年,本科,20k-40k,六险一金、上升空间、弹性工作、优秀团队
北京聚微合智信息技术有限公司,聚微,50-150人,不需要融资,海淀区,Java/Python,1年以下,大专,9k-18k,"新蓝海,牛人带队,发展空间大,扁平化管理"
深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,朝阳区,python开发,3-5年,大专,10k-15k,"上市公司,项目大,福利多多,周末双休"
福州必全网络科技有限公司,必全网络,15-50人,天使轮,朝阳区,python程序员（实习生）,应届毕业生,本科,3k-4k,五险一金；包住宿
智线云科技（北京）有限公司,ZingFront智线,50-150人,A轮,朝阳区,Python中级工程师,3-5年,本科,15k-25k,"六险一金,晋升空间大,超长年假,团队氛围好"
中铁信弘远（北京）软件科技有限责任公司,中铁信弘远,150-500人,不需要融资,海淀区,python高级开发工程师,不限,本科,15k-20k,福利待遇优，发展前景好
北京融七牛信息技术有限公司,融360,500-2000人,上市公司,海淀区,高级Python研发工程师 (001261),3-5年,本科,30k-50k,"千万级用户,高并发系统,团队大牛多"
北京思维造物信息科技有限公司,罗辑思维,150-500人,D轮及以上,朝阳区,python / golang 后端开发工程师,1-3年,本科,20k-40k,"六险一金,大咖云集,氛围好,福利好"
北京闪送科技有限公司,闪送,500-2000人,D轮及以上,海淀区,Python/web开发工程师,3-5年,本科,10k-20k,"发展空间,福利优厚,带薪年假,弹性工作时"
智睿投研（北京）信息咨询有限公司,智睿投研,15-50人,未融资,东城区,python中高级开发工程师,5-10年,本科,15k-25k,待遇好，前景好，发展好
成都元一九鼎投资管理有限公司,元一九鼎,50-150人,未融资,朝阳区,中高级python开发工程师,3-5年,本科,15k-25k,优秀的团队成员
北京学了么科技有限公司,学了么,15-50人,天使轮,东城区,Python兼职老师,1-3年,本科,15k-20k,时间灵活
北京托普云数据技术有限公司,北京托普云数据技术有限公司,50-150人,不需要融资,海淀区,java/python开发培训实训,应届毕业生,不限,1k-2k,项目培训，定岗就业、提供住宿、
北京汇游科技有限公司,汇游科技,15-50人,不需要融资,朝阳区,Python爬虫工程师,3-5年,本科,15k-20k,"五险一金,全勤奖,餐补,年终奖金"
北京石云科技有限公司,石云科技,50-150人,不需要融资,海淀区,Python/Ruby,1-3年,本科,15k-30k,"金融科技,新蓝海,牛人带队,年底双薪"
北京链家房地产经纪有限公司立水桥北路店,链家,2000人以上,不需要融资,海淀区,Python高级开发,3-5年,本科,50k-80k,"15薪,发展平台"
深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,西城区,Python 开发工程师,3-5年,本科,15k-17k,"金融央企,五险一金"
北京石云科技有限公司,石云科技,50-150人,不需要融资,海淀区,Java/Python,应届毕业生,大专,8k-16k,"弹性工作,领导好,奖金高,蓝海市场"
智线云科技（北京）有限公司,ZingFront智线,50-150人,A轮,朝阳区,高级Java/PHP/Python工程师,3-5年,本科,15k-25k,"带薪年假,福利多,办公环境好,氛围自由"
北京托普云数据技术有限公司,北京托普云数据技术有限公司,50-150人,不需要融资,海淀区,Java/python/ui设计实训培训,不限,不限,4k-8k,培训、上岗、签协议
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,Python开发实习生,应届毕业生,本科,5k-8k,"有大牛,有美女,有零食,有健身"
北京快快网络技术有限公司,真融宝,150-500人,B轮,海淀区,Python中级开发工程师,不限,本科,20k-25k,"六险一金,有餐补,团队氛围好，成长空间大"
北京理享家商务信息咨询有限公司,北京理享家,150-500人,D轮及以上,东城区,高级Python后端工程师,3-5年,本科,15k-25k,"扁平化管理,股票期权,年度体检"
达内时代科技集团有限公司,达内集团,2000人以上,上市公司,海淀区,Python高级开发工程师 (MJ003815),3-5年,本科,15k-25k,"股权激励,上市平台,发展空间,大平台"
北京国研网信息股份有限公司,国研网,150-500人,上市公司,东城区,高级python开发工程师,3-5年,硕士,22k-27k,六险一金，超长年假，大型国企
北京摩尔宝宝网络科技有限公司,摩尔妈妈,15-50人,A轮,朝阳区,python开发实习生,应届毕业生,本科,3k-6k,"提供转正,实习证明,注重成长,免费 午餐"
北京下厨房科技有限公司,下厨房,50-150人,B轮,海淀区,Python开发实习生,应届毕业生,本科,6k-7k,免费午餐、成长空间大、有转正机会
北京格灵深瞳信息技术有限公司,格灵深瞳,150-500人,C轮,海淀区,Python高级研发工程师,应届毕业生,本科,20k-40k,人工智能 良好的发展空间
北京音娱时光科技有限公司,音娱时光,50-150人,A轮,海淀区,Python开发实习生,应届毕业生,本科,3k-5k,零食茶歇，一日两餐，免费健身，节日福利等
瞭望智库（北京）科技发展有限公司,新华社瞭望智库,50-150人,不需要融资,东城区,Python可视化工程师,3-5年,本科,10k-18k,五险一金，带薪年假，双休
北京币盈科技有限公司,币盈科技,15-50人,天使轮,朝阳区,高级Python研发工程师,3-5年,本科,20k-35k,牛人多，氛围好，发展快
达内时代科技集团有限公司,达内集团,2000人以上,上市公司,海淀区,python讲师（少儿编程）,3-5年,本科,15k-30k,"上市公司,学习氛围,技术培训,福利待遇"
北京托普云数据技术有限公司,北京托普云数据技术有限公司,50-150人,不需要融资,海淀区,java/python/ui/web前端实习实训,不限,大专,6k-12k,五险一金、可培养
北京享睡科技有限公司,享睡空间,50-150人,天使轮,东城区,python高级工程师,3-5年,大专,10k-20k,"创业团队,五险一金,年终绩效"
紫梧桐（北京）资产管理有限公司,蛋壳公寓,2000人以上,C轮,东城区,Python爬虫高级工程师,5-10年,本科,20k-40k,技术大牛
北京中铁信科技有限公司,北京中铁信,150-500人,不需要融资,海淀区,python高级开发工程师,3-5年,本科,18k-28k,"平台好,机会多,机会多多"
成都联想软件有限公司,联想,500-2000人,不需要融资,海淀区,python后端,3-5年,本科,30k-50k,"年底多薪,氛围好,大牛多,美女多"
上海亿贝网络信息服务有限公司,eBay,500-2000人,上市公司,朝阳区,高级Python工程师,1-3年,本科,20k-40k,平台好，年底多薪，发展空间大
阳光保险集团股份有限公司,阳光产险信保事业部,2000人以上,不需要融资,朝阳区,python测试开发专家,3-5年,本科,18k-36k,"节日福利,五险一金,交通补助,带薪年假"
北京智融时代信息技术有限公司,智融集团,150-500人,C轮,海淀区,Python开发实习生,应届毕业生,本科,5k-7k,优秀团队 1对1导师制 美味早晚餐
北京赋乐科技有限公司,Flow++,50-150人,A轮,海淀区,python开发实习生（可转正）,应届毕业生,硕士,3k-4k,"定期团建,发展空间大,技术驱动"
北京小猿文化传播有限公司,小猿,500-2000人,D轮及以上,朝阳区,python助教实习生,应届毕业生,本科,4k-6k,下午茶零食不限量，五一9天假
北京智通博瑞科技发展有限公司,智通博瑞,50-150人,不需要融资,海淀区,python后台开发工程师,3-5年,本科,18k-25k,周末双休，五险一金，节假日福利，带薪年假
混沌时代（北京）教育科技有限公司,混沌大学,150-500人,不需要融资,海淀区,python后台工程师,应届毕业生,本科,14k-20k,"弹性工作,六险一金,大牛云集,学习氛围"
成都知道创宇信息技术有限公司,知道创宇,500-2000人,C轮,朝阳区,python实习生(J10159),应届毕业生,大专,2k-4k,八险一金，10天带薪年假，弹性工时
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,海淀区,python爬虫,3-5年,本科,20k-35k,"六险一金,绩效奖金,福利完善，大牛云集"
北京托普云数据技术有限公司,北京托普云数据技术有限公司,50-150人,不需要融资,海淀区,Java/python软件开发实训 培训,应届毕业生,大专,4k-8k,直接实习，先培训在上岗，签订实习
达内时代科技集团有限公司,达内集团,2000人以上,上市公司,朝阳区,Python讲师 (MJ001577),5-10年,本科,18k-30k,"五险一金,商业保险,股票期权"
北京智通博瑞科技发展有限公司,智通博瑞,50-150人,不需要融资,海淀区,python后台开发工程师,3-5年,不限,18k-25k,"五险一金,定期体检,全勤奖,带薪年假"
多抓鱼（北京）科技有限公司,多抓鱼,15-50人,B轮,朝阳区,python后端,5-10年,本科,20k-35k,技术氛围好，睡到自然醒，文化自由包容
北京通力互联技术服务有限公司,通力互联,2000人以上,不需要融资,海淀区,后端Python开发,应届毕业生,本科,10k-15k,"大牛多,免费早晚餐,免费班车,领导好"
北京阿姨多多网络科技有限公司,阿姨多多,少于15人,不需要融资,昌平区,python 实习生,应届毕业生,硕士,3k-4k,"初创团队,有活力,家的感觉"
北京高思博乐教育科技股份有限公司,高思教育集团,2000人以上,上市公司,海淀区,Python教研,1-3年,不限,15k-30k,带薪年假 节日福利 员工体检
百融云创科技股份有限公司,百融云创,500-2000人,C轮,海淀区,高级python运维开发,3-5年,本科,15k-30k,"带薪年假,绩效奖金,年底双薪,补充医疗"
北京蜜莱坞网络科技有限公司,映客,500-2000人,上市公司,朝阳区,c++/Python/Go......,3-5年,本科,30k-50k,"大牛多,成长快,六险一金,专属健身房"
兆百特（北京）信息技术有限公司,兆百特,50-150人,A轮,朝阳区,Python 后台开发工程师,不限,本科,10k-20k,"免费零食,六险一金,定期团建，试用期全薪"
上海倾听信息技术有限公司,蜻蜓FM,150-500人,D轮及以上,朝阳区,Python 后端开发（北京）,1-3年,本科,18k-36k,发展前景优，工作氛围轻松
北京中科九章软件有限公司,中科九章,15-50人,不需要融资,海淀区,Python Web 开发,不限,本科,8k-16k,"五险一金,年度体检,云计算"
北京马哥教育科技有限公司,马哥教育,15-50人,不需要融资,昌平区,pyhton讲师,5-10年,大专,20k-30k,五险全勤奖交通补助餐补员工旅游节日福利
恒爱高科（北京）科技有限公司,恒爱高科,15-50人,天使轮,海淀区,Python 后台工程师,1-3年,本科,7k-14k,"潜力大,钱多,技术先进,有实力"
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,AI Lab-Python增效工具链开发工程师,不限,本科,4k-6k,地铁周边、扁平化管理、节日礼物、交通补助
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,AI Lab-Python实习生,不限,本科,4k-6k,地铁周边、扁平化管理、节日礼物、交通补助
北京谦亨网络科技有限公司,谦亨网络科技,少于15人,未融资,海淀区,python实习,应届毕业生,不限,3k-5k,"提升空间大,待遇福利好,股份期权"
北京水木梧桐创业投资管理有限公司,水木创投,50-150人,不需要融资,东城区,python架构师,5-10年,不限,25k-35k,五险一金
北京融七牛信息技术有限公司,融360,500-2000人,上市公司,海淀区,python研发架构师,5-10年,本科,30k-45k,"周末双休,节日福利,五险一金,股票期权"
环嘉集团有限公司,环嘉集团,2000人以上,不需要融资,海淀区,python后端,3-5年,不限,25k-35k,五险一金，团队融洽，技术超前
兆百特（北京）信息技术有限公司,兆百特,50-150人,A轮,朝阳区,Python后台研发实习工程师,应届毕业生,不限,4k-6k,"不打卡,至少4天"
北京视野金服信息技术有限公司,视野金融,50-150人,A轮,海淀区,python大数据处理工程师,3-5年,本科,15k-25k,五险一金 股票期权 加班补助 带薪年假
北京东土科技股份有限公司,东土科技,500-2000人,上市公司,石景山区,Python/C++研发工程师,3-5年,本科,20k-40k,五险一金 交通补助 餐补 话补 体检
北京粉笔未来科技有限公司,猿辅导,2000人以上,D轮及以上,朝阳区,python助教实习生,应届毕业生,本科,3k-4k,"一带一帮带,独角兽行业"
艺恩世纪国际信息咨询（北京）有限公司,艺恩,50-150人,未融资,朝阳区,高级Python采集工程师,5-10年,本科,18k-25k,"弹性工时,补充医疗,带薪病假,扁平管理"
北京奇艺世纪科技有限公司,爱奇艺,2000人以上,上市公司,海淀区,Golang &amp; Python 安全开发实习生,不限,本科,2k-3k,牛人多，学习机会多 ；有转正机会
北京太极华保科技股份有限公司,太极华保,150-500人,B轮,海淀区,中级python后端,1-3年,本科,10k-20k,餐补，通讯补，五险一金，带薪休假，团建
北京趣码科技有限公司,趣码科技,150-500人,不需要融资,海淀区,Python高级讲师,1-3年,大专,10k-20k,发展空间大，大集团公司
北京芽芽科技有限公司,芽芽,少于15人,未融资,海淀区,高级python后端,3-5年,本科,14k-24k,五险一金，额外补充医疗，定期团建，餐补
深圳点猫科技有限公司,编程猫,500-2000人,B轮,东城区,Python培训讲师,3-5年,本科,8k-15k,"弹性,提成多多,五险一金,饭补"
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,AI Lab-python后台开发实习生,不限,本科,4k-6k,地铁周边、扁平化管理、节日礼物、交通补助
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,python爬虫工程师,1-3年,本科,22k-40k,六险一金，弹性工作，免费三餐，租房补贴
北京新锦成科技有限公司,新锦成,150-500人,A轮,海淀区,python数据统计,应届毕业生,本科,3k-5k,扁平化管理 ；弹性工作时间 ；发展空间大
北京奥德塔数据科技有限公司,奥德塔,15-50人,天使轮,海淀区,python高级爬虫工程师,3-5年,本科,12k-18k,六险一金，带薪年假，免费班车，餐补交补等
深圳码隆科技有限公司,码隆科技,50-150人,B轮,海淀区,Python Web全栈研发实习生,应届毕业生,本科,4k-5k,大牛多 工作氛围好 360°海景
北京阿博茨科技有限公司,阿博茨科技,150-500人,B轮,海淀区,python爬虫实习生 (MJ000157),应届毕业生,本科,3k-5k,福利待遇佳
北京新工场投资顾问有限公司,她理财,50-150人,A轮,朝阳区,Go工程师,1-3年,本科,15k-30k,互联网金融 无天花板 六险一金 期权激励
北京达佳互联信息技术有限公司,快手,2000人以上,D轮及以上,海淀区,AR算法研究员,3-5年,硕士,25k-50k,免费午晚餐，下午茶，健身房
北京优友动量网络技术有限公司,火萤,15-50人,不需要融资,石景山区,GO架构师,5-10年,本科,40k-80k,"弹性,双休,扁平,额外补助"
明睿（北京）资本管理有限公司,明睿资本,少于15人,不需要融资,朝阳区,量化开发工程师（Java/C++/Python方向,1-3年,本科,20k-30k,"五险一金,补充医疗,带薪年假,绩效工资"
瑞幸咖啡（中国）有限公司,瑞幸咖啡,2000人以上,B轮,海淀区,高级容器云开发工程师/容器技术专家,5-10年,本科,30k-60k,互联网新零售独角兽公司
北京旷视科技有限公司,旷视MEGVII,500-2000人,D轮及以上,海淀区,云平台开发工程师（Python/Go/C++）,1-3年,本科,25k-50k,人工智能，人脸识别，云平台
车好多旧机动车经纪（北京）有限公司,车好多集团,2000人以上,D轮及以上,海淀区,后端开发（爬虫方向）,3-5年,本科,20k-40k,搜索研发 海量数据
凤凰飞扬（北京）新媒体信息技术有限公司,凤凰网,2000人以上,上市公司,朝阳区,golang工程师,3-5年,本科,20k-35k,团队扁平化、股票期权、上市公司
支付宝（杭州）信息技术有限公司,蚂蚁金服集团,2000人以上,B轮,朝阳区,数据研发工程师/技术专家（财富事业群）,5-10年,本科,35k-60k,大平台 团队氛围 快速成长
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,大数据部-Python爬虫实习生,1年以下,本科,4k-6k,大平台 福利好
北京市商汤科技开发有限公司,商汤科技,2000人以上,C轮,海淀区,软件开发工程师,3-5年,本科,20k-40k,发展空间大、弹性工作、午餐补助、扁平管理
车好多旧机动车经纪（北京）有限公司,车好多集团,2000人以上,D轮及以上,海淀区,资深大数据开发工程师,3-5年,本科,30k-60k,"大数据,spark,hive,hbase"
北京推想科技有限公司,推想科技,150-500人,C轮,朝阳区,开发工程师,1-3年,本科,10k-15k,人工智能、扁平管理、发展空间大
北京一人一亩田网络科技有限公司,一亩田,150-500人,C轮,海淀区,研发工程师,3-5年,本科,20k-35k,六险一金，弹性工作，双休，年终奖，年假
广州实地房地产开发有限公司,实地集团,2000人以上,不需要融资,朝阳区,开发工程师,3-5年,不限,18k-27k,"6险1金,周末双休"
北京永鼎致远网络科技有限公司,永鼎致远,150-500人,未融资,海淀区,技术服务工程师,1-3年,大专,7k-8k,发展空间大；公司氛围好；福利好
北京神州绿盟信息安全科技股份有限公司,绿盟科技,500-2000人,上市公司,海淀区,研发工程师,3-5年,本科,10k-20k,六险一金，绩效奖金
北京旷视科技有限公司,旷视MEGVII,500-2000人,D轮及以上,海淀区,后台开发工程师 （深度学习平台）,3-5年,本科,25k-50k,"大牛云集,弹性工作"
轻客智能科技（江苏）有限公司,MYNTAI小觅智能,50-150人,A轮,朝阳区,ROS开发工程师,1-3年,本科,18k-30k,"发展空间大,快速发展期,团队氛围好,薪资优越"
北京晟政科技有限公司,北京晟政科技有限公司,50-150人,不需要融资,海淀区,钱包开发工程师,3-5年,本科,15k-25k,"五险一金,氛围好,领导好"
百融云创科技股份有限公司,百融云创,500-2000人,C轮,海淀区,研发工程师-算法方向,应届毕业生,本科,16k-20k,"年底双薪,带薪年假,绩效奖励,年度旅游"
爱笔（北京）智能科技有限公司,Aibee,150-500人,A轮,海淀区,开发工程师-计算平台?,不限,不限,15k-30k,人工智能 创业氛围
秒针信息技术有限公司,明略科技集团,500-2000人,D轮及以上,朝阳区,前端开发工程师,3-5年,本科,15k-30k,弹性工作、层级扁平、带薪年假、房补车补
昆仑智汇数据科技（北京）有限公司,K2DATA,150-500人,B轮,海淀区,软件开发工程师（Python）,3-5年,本科,15k-30k,行业大牛
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,高级数据仓库开发工程师,3-5年,本科,20k-40k,平台好
北京市商汤科技开发有限公司,商汤科技,2000人以上,C轮,海淀区,大数据平台开发工程师,3-5年,硕士,25k-50k,"核心业务,高薪酬福利,技术大牛"
车好多旧机动车经纪（北京）有限公司,车好多集团,2000人以上,D轮及以上,朝阳区,Golang开发工程师,3-5年,本科,25k-50k,"核心团队,技术大牛,丰厚福利"
北京旷视科技有限公司,旷视MEGVII,500-2000人,D轮及以上,海淀区,测试开发工程师,3-5年,本科,15k-25k,极客范
因诺（上海）资产管理有限公司,因诺,15-50人,不需要融资,西城区,系统开发工程师,1-3年,硕士,15k-25k,"扁平管理,牛人团队,绩效奖金,六险一金"
北京太古代科技有限公司,太古代科技,50-150人,B轮,海淀区,量化开发工程师,1-3年,本科,20k-40k,福利待遇优厚！
北京微聚未来科技有限公司,微聚未来,500-2000人,不需要融资,海淀区,高级测试开发工程师,3-5年,不限,20k-35k,"牛人团队,带薪年假,16薪考核,快速成长"
北京神州祥龙投资管理有限公司,亚马逊（中国）,2000人以上,上市公司,朝阳区,软件开发工程师,1-3年,本科,20k-40k,无996，全球大型复杂系统开发，大数据
北京声智科技有限公司,声智科技,150-500人,B轮,海淀区,云服务研发工程师（NLP方向）,3-5年,本科,15k-30k,"六险一金,团建旅游,扁平化管理"
北京奇智睿思信息咨询有限公司,奇智睿思,2000人以上,上市公司,朝阳区,研发技术经理（CRM&amp;电商）,5-10年,本科,25k-50k,"国际化团队,国际化客户,气氛活跃,加班少"
